#Index            X            Y            Z         Mass
     2  2.38397E-02 -6.40984E-01  0.00000E+00  1.00000E+00
     3  5.14111E-01  8.47510E-01  0.00000E+00  1.00000E+00
     1 -5.06005E-01 -1.79147E-01  0.00000E+00  1.00000E+00
     2  1.36580E-02 -6.62032E-01  0.00000E+00  1.00000E+00
     3  4.92347E-01  8.41179E-01  0.00000E+00  1.00000E+00
     1 -4.71182E-01 -1.53369E-01  0.00000E+00  1.00000E+00
     2  1.34373E-03 -6.80303E-01  0.00000E+00  1.00000E+00
     3  4.69838E-01  8.33672E-01  0.00000E+00  1.00000E+00
     1 -4.33634E-01 -1.29343E-01  0.00000E+00  1.00000E+00
     2 -1.29129E-02 -6.95589E-01  0.00000E+00  1.00000E+00
     3  4.46547E-01  8.24933E-01  0.00000E+00  1.00000E+00
     1 -3.93526E-01 -1.07199E-01  0.00000E+00  1.00000E+00
     2 -2.89019E-02 -7.07688E-01  0.00000E+00  1.00000E+00
     3  4.22428E-01  8.14887E-01  0.00000E+00  1.00000E+00
     1 -3.51038E-01 -8.70315E-02  0.00000E+00  1.00000E+00
     2 -4.63912E-02 -7.16409E-01  0.00000E+00  1.00000E+00
     3  3.97429E-01  8.03441E-01  0.00000E+00  1.00000E+00
     1 -3.06364E-01 -6.89007E-02  0.00000E+00  1.00000E+00
     2 -6.51253E-02 -7.21573E-01  0.00000E+00  1.00000E+00
     3  3.71489E-01  7.90474E-01  0.00000E+00  1.00000E+00
     1 -2.59719E-01 -5.28156E-02  0.00000E+00  1.00000E+00
     2 -8.48237E-02 -7.23018E-01  0.00000E+00  1.00000E+00
     3  3.44543E-01  7.75834E-01  0.00000E+00  1.00000E+00
     1 -2.11338E-01 -3.87214E-02  0.00000E+00  1.00000E+00
     2 -1.05181E-01 -7.20607E-01  0.00000E+00  1.00000E+00
     3  3.16519E-01  7.59328E-01  0.00000E+00  1.00000E+00
     1 -1.61478E-01 -2.64805E-02  0.00000E+00  1.00000E+00
     2 -1.25868E-01 -7.14229E-01  0.00000E+00  1.00000E+00
     3  2.87347E-01  7.40709E-01  0.00000E+00  1.00000E+00
