 Body           x           y           z          vx          vy          vz             Time
  5         1.9289E+00  8.9352E-01 -6.4385E-01 -4.4822E+00  5.2336E+00  4.5924E-01        0.37
  1         5.5520E-08  6.0418E-08  4.9075E-10  6.6196E-08  3.8772E-07 -1.5318E-08        0.38
  2        -5.4958E-01 -3.2697E-01 -1.2046E-01  9.3499E+00 -1.0650E+01 -1.2259E+00        0.38
  3        -7.3161E-01  6.2044E-01  9.5190E-02 -6.8045E+00 -8.7249E+00  2.8536E+00        0.38
  4         6.9292E-01  2.4054E+00  5.6862E-01 -4.9049E+00  1.2146E+00 -2.1507E-01        0.38
  5         1.8827E+00  9.4596E-01 -6.3891E-01 -4.6601E+00  5.1477E+00  5.1914E-01        0.38
  1         5.6058E-08  6.4311E-08  3.1686E-10  4.0563E-08  3.8198E-07 -1.9203E-08        0.39
  2        -4.4527E-01 -4.2759E-01 -1.3046E-01  1.1268E+01 -9.1891E+00 -7.4093E-01        0.39
  3        -7.9604E-01  5.2895E-01  1.2341E-01 -5.9414E+00 -9.3742E+00  2.7301E+00        0.39
  4         6.4318E-01  2.4170E+00  5.6628E-01 -4.9449E+00  1.0704E+00 -2.4901E-01        0.39
  5         1.8347E+00  9.9748E-01 -6.3336E-01 -4.8384E+00  5.0545E+00  5.8015E-01        0.39
  1         5.6348E-08  6.8114E-08  1.0153E-10  1.7473E-08  3.7030E-07 -2.3475E-08        0.40
  2        -3.2305E-01 -5.1091E-01 -1.3519E-01  1.2865E+01 -7.2340E+00 -1.8788E-01        0.40
  3        -8.5141E-01  4.3145E-01  1.5023E-01 -5.0140E+00 -9.9150E+00  2.5760E+00        0.40
  4         5.9305E-01  2.4270E+00  5.6359E-01 -4.9820E+00  9.2511E-01 -2.8290E-01        0.40
  5         1.7850E+00  1.0480E+00 -6.2718E-01 -5.0167E+00  4.9538E+00  6.4223E-01        0.40
  1         5.6426E-08  7.1774E-08 -1.5738E-10 -1.1079E-09  3.5375E-07 -2.7758E-08        0.41
  2        -1.8708E-01 -5.7244E-01 -1.3416E-01  1.3963E+01 -4.9009E+00  3.9215E-01        0.41
  3        -8.9717E-01  3.2907E-01  1.7536E-01 -4.0416E+00 -1.0338E+01  2.3950E+00        0.41
  4         5.4255E-01  2.4356E+00  5.6056E-01 -5.0162E+00  7.7864E-01 -3.1677E-01        0.41
  5         1.7334E+00  1.0975E+00 -6.2038E-01 -5.1947E+00  4.8452E+00  7.0536E-01        0.41
  1         5.6346E-08  7.5250E-08 -4.5767E-10 -1.3908E-08  3.3424E-07 -3.1594E-08        0.42
  2        -4.3042E-02 -6.0929E-01 -1.2735E-01  1.4455E+01 -2.3846E+00  9.4918E-01        0.42
  3        -9.3297E-01  2.2303E-01  1.9854E-01 -3.0447E+00 -1.0639E+01  2.1914E+00        0.42
  4         4.9173E-01  2.4428E+00  5.5719E-01 -5.0475E+00  6.3100E-01 -3.5059E-01        0.42
  5         1.6800E+00  1.1459E+00 -6.1293E-01 -5.3722E+00  4.7285E+00  7.6948E-01        0.42
  1         5.6166E-08  7.8523E-08 -7.9273E-10 -2.0704E-08  3.1397E-07 -3.4588E-08        0.43
  2         1.0285E-01 -6.2073E-01 -1.1522E-01  1.4338E+01  9.5372E-02  1.4386E+00        0.43
  3        -9.5866E-01  1.1457E-01  2.1957E-01 -2.0432E+00 -1.0818E+01  1.9701E+00        0.43
  4         4.4060E-01  2.4484E+00  5.5348E-01 -5.0758E+00  4.8220E-01 -3.8438E-01        0.43
  5         1.6249E+00  1.1930E+00 -6.0483E-01 -5.5488E+00  4.6035E+00  8.3455E-01        0.43
  1         5.5945E-08  8.1596E-08 -1.1527E-09 -2.2223E-08  2.9481E-07 -3.6511E-08        0.44
  2         2.4484E-01 -6.0811E-01 -9.8614E-02  1.3703E+01  2.3563E+00  1.8325E+00        0.44
  3        -9.7429E-01  4.8993E-03  2.3829E-01 -1.0555E+00 -1.0880E+01  1.7362E+00        0.44
  4         3.8921E-01  2.4525E+00  5.4943E-01 -5.1012E+00  3.3221E-01 -4.1813E-01        0.44
  5         1.5680E+00  1.2388E+00 -5.9607E-01 -5.7241E+00  4.4699E+00  9.0052E-01        0.44
  1         5.5731E-08  8.4486E-08 -1.5265E-09 -1.9712E-08  2.7795E-07 -3.7326E-08        0.45
  2         3.7838E-01 -5.7425E-01 -7.8555E-02  1.2690E+01  4.2879E+00  2.1225E+00        0.45
  3        -9.8008E-01 -1.0483E-01  2.5461E-01 -9.7740E-02 -1.0831E+01  1.4947E+00        0.45
  4         3.3757E-01  2.4551E+00  5.4503E-01 -5.1236E+00  1.8103E-01 -4.5185E-01        0.45
  5         1.5093E+00  1.2833E+00 -5.8664E-01 -5.8979E+00  4.3275E+00  9.6731E-01        0.45
  1         5.5556E-08  8.7220E-08 -1.9033E-09 -1.4478E-08  2.6386E-07 -3.7144E-08        0.46
  2         5.0040E-01 -5.2274E-01 -5.6069E-02  1.1443E+01  5.8515E+00  2.3149E+00        0.46
  3        -9.7641E-01 -2.1355E-01  2.6847E-01  8.1705E-01 -1.0683E+01  1.2501E+00        0.46
  4         2.8572E-01  2.4561E+00  5.4030E-01 -5.1429E+00  2.8649E-02 -4.8553E-01        0.46
  5         1.4488E+00  1.3262E+00 -5.7653E-01 -6.0696E+00  4.1760E+00  1.0348E+00        0.46
  1         5.5444E-08  8.9826E-08 -2.2741E-09 -7.6169E-09  2.5256E-07 -3.6146E-08        0.47
  2         6.0915E-01 -4.5725E-01 -3.2074E-02  1.0081E+01  7.0597E+00  2.4241E+00        0.47
  3        -9.6376E-01 -3.2032E-01  2.7987E-01  1.6788E+00 -1.0446E+01  1.0066E+00        0.47
  4         2.3369E-01  2.4557E+00  5.3523E-01 -5.1592E+00 -1.2496E-01 -5.1916E-01        0.47
